372.9186457849802, [5, 9, 12, 17, 11, 15, 23, 24, 22, 18, 20, 21, 19, 16, 14, 6, 8, 2, 4, 10, 7, 3, 1, 0, 13]
428.33943737807004, [10, 18, 14, 7, 9, 15, 16, 17, 12, 11, 8, 6, 1, 0, 2, 5, 4, 22, 23, 24, 21, 20, 19, 13, 3]
426.19973852619273, [5, 10, 15, 13, 20, 21, 23, 24, 22, 19, 16, 14, 11, 6, 2, 4, 0, 3, 9, 12, 17, 18, 8, 7, 1]
408.6886615124304, [20, 19, 22, 23, 24, 18, 17, 16, 13, 9, 11, 12, 14, 7, 1, 6, 0, 2, 3, 8, 4, 5, 10, 15, 21]
413.2079779738629, [0, 6, 9, 12, 13, 8, 4, 2, 3, 1, 7, 11, 15, 20, 21, 22, 23, 24, 19, 18, 17, 16, 14, 10, 5]
501.5224238316716, [22, 21, 16, 14, 18, 17, 2, 8, 11, 7, 6, 5, 0, 12, 9, 10, 4, 3, 1, 15, 13, 19, 24, 23, 20]
460.70963019000385, [20, 18, 16, 13, 6, 3, 5, 7, 8, 0, 2, 15, 19, 22, 24, 23, 21, 17, 14, 11, 12, 4, 1, 9, 10]
456.1340683984858, [1, 3, 0, 8, 11, 9, 4, 6, 7, 2, 5, 13, 16, 17, 20, 22, 23, 24, 21, 19, 18, 15, 14, 12, 10]
456.5261692661273, [3, 8, 5, 13, 14, 19, 22, 24, 23, 21, 18, 20, 17, 16, 15, 12, 10, 11, 9, 1, 4, 7, 2, 0, 6]
484.53174942549185, [19, 12, 9, 13, 11, 0, 1, 5, 7, 3, 8, 6, 16, 14, 10, 2, 15, 17, 4, 18, 20, 22, 23, 24, 21]
381.52472006118956, [7, 0, 3, 5, 4, 1, 9, 15, 17, 19, 14, 13, 6, 11, 12, 16, 18, 23, 22, 21, 24, 20, 10, 8, 2]
389.32800769613357, [3, 1, 10, 14, 5, 6, 9, 18, 11, 2, 4, 8, 12, 13, 17, 15, 20, 21, 23, 24, 22, 19, 16, 7, 0]
487.7548978249689, [9, 2, 4, 8, 7, 11, 12, 6, 3, 1, 13, 15, 20, 16, 18, 22, 23, 24, 21, 19, 17, 5, 0, 10, 14]
469.6510910297245, [21, 22, 24, 23, 19, 17, 15, 14, 13, 8, 10, 2, 1, 5, 3, 12, 0, 6, 7, 4, 9, 11, 20, 16, 18]
404.45808946830044, [21, 19, 24, 23, 22, 20, 18, 17, 15, 13, 12, 0, 1, 2, 7, 3, 6, 11, 9, 14, 10, 4, 5, 8, 16]
396.7847748754636, [9, 16, 20, 21, 23, 24, 22, 17, 15, 7, 11, 18, 14, 4, 1, 0, 2, 6, 12, 19, 13, 10, 8, 5, 3]
457.90861323018584, [12, 15, 19, 23, 22, 24, 21, 20, 18, 14, 6, 8, 5, 7, 11, 13, 17, 16, 4, 0, 3, 9, 1, 2, 10]
446.7135247181359, [2, 7, 11, 13, 14, 15, 10, 18, 16, 9, 0, 4, 6, 1, 19, 24, 23, 22, 21, 20, 17, 12, 3, 5, 8]
451.23336249064005, [12, 8, 0, 4, 9, 2, 6, 13, 14, 10, 7, 3, 1, 5, 11, 19, 22, 21, 23, 24, 18, 20, 17, 16, 15]
411.63450311758635, [14, 16, 18, 13, 20, 22, 21, 23, 24, 19, 17, 2, 15, 12, 10, 11, 9, 7, 4, 1, 0, 6, 3, 5, 8]
