231.1445303885705, [2, 3, 1, 0, 4]
136.2904184045171, [1, 4, 3, 2, 0]
245.45195370588294, [4, 1, 0, 3, 2]
180.45665587146817, [4, 1, 0, 2, 3]
275.0439316285549, [4, 3, 2, 1, 0]
173.74619739611921, [1, 4, 2, 3, 0]
287.91062271276087, [4, 3, 2, 1, 0]
209.54566040452397, [1, 3, 4, 2, 0]
214.25890597837105, [0, 1, 2, 4, 3]
245.69668182204873, [2, 3, 4, 1, 0]
151.87519494379984, [1, 0, 4, 3, 2]
215.58917135836404, [1, 0, 2, 3, 4]
221.3550052892763, [2, 4, 3, 0, 1]
159.96083614929466, [2, 3, 4, 1, 0]
177.82526487975332, [0, 1, 3, 4, 2]
217.73653432805273, [2, 4, 3, 0, 1]
198.54328705437604, [3, 1, 0, 2, 4]
121.67371469490287, [3, 4, 0, 2, 1]
234.70008924365362, [2, 0, 1, 3, 4]
218.6847499376577, [3, 4, 0, 1, 2]
